Page ID	Title	Author	Composition Year	Original Language	Translator	Translation Year	Project	Subject	Source URL	Text
356923	A caso in terra caddero	Tommaso Crudeli	XVIII secolo				Letteratura	poesie		"A caso in terra caddero
l’uno all’altro vicino
un ruspo d’oro splendido
e un misero quattrino.

{{R|5}}Stettero quieti e mutoli
i due rivali alquanto,
perché ambedue stupivansi
di ritrovarsi accanto.

Sulla moneta piccola
{{R|10}}tenne le luci fisse
alquanto il ruspo fulgido,
poi brontolando disse:

- Che fai, plebeo vilissimo,
accanto ad un par mio:
{{R|15}}quattrino miserabile,
conosci chi son io?

Io sto sempre con principi,
con grandi e cavalieri,
col mezzo mio sostengonsi
{{R|20}}i più possenti imperi.

E tu chi siei? Un uomo
da tutti dispregiato,
che trovi sol rifugio
in tasca allo spiantato.

{{R|25}}Che fai qui dunque? Scostati,	
vanne da me lontano,
poiché un signor non abita
insiem con un villano -.

A così gravi ingiurie
{{R|30}}la povera moneta
sentì la bile accendersi
e non poté star queta;

onde rispose subito:
- Piano, signor mio bello,
{{R|35}}intendo e so benissimo
che nacqui poverello.

Per altro anch’io son utile
al mondo al par di voi;
abbiam diverso merito,
{{R|40}}ma ognuno ha i pregi suoi.

se vivo in crudo esiglio
lontano dalla corte,
son però felicissimo
nella mia parca sorte.

{{R|45}}Col mezzo mio satollasi
del povero la fame,
ma non servo alla fraude
o alla calunnia infame.

Non servo per corrompere
{{R|50}}de’ giudici la fede,
per me non si tradiscono
le maritali sede.

Non servo a patti illeciti,
non sazio voglie insane,
{{R|55}}non sono il mercimonïo
di spie e di p<uttane>.

So che i potenti e nobili
mi stiman molto poco,
ma almen non mi tripudiano
{{R|60}}in bei bagordi e gioco.

Amo piuttosto i laceri
panni delli spiantati,
che il cuor superbo e barbaro
de’ ricchi gallonati.

{{R|65}}Voi state ne’ postriboli,
io sto ne’ tempi santi,
io sto in man agl’artefici,
voi in quella de’ furfanti.

E d’uno stesso principe
{{R|70}}io come voi son figlio;
e delle palle pregiomi,
se voi portate il giglio -.

Volea il zecchin rispondere
in tuono ardito e fiero,
{{R|75}}mentre passando viddegli	
a ccaso un passeggero:

- Fortuna - disse, ed avido
raccolze il bel zecchino
e nella borza chiuselo,
{{R|80}}né trascurò il quattrino.

Che cosa allor divennero
indovinate, amici?
il ruspo orgogliosissimo
pagò due meretrici;

{{R|85}}ed il quattrino ignobile,
converso ad usi santi,
fu dato in elemosina
per le anime purganti."
307374	A Ccrementina	Giuseppe Gioachino Belli	1831				letteratura	sonetti	Indice:Sonetti romaneschi VI.djvu	
562267	A che sul tergo Amor sì forti vanni	Paolo Falconieri	XVIII secolo				Letteratura	Sonetti	Indice:Zappi, Maratti - Rime I.pdf	
473486	A che, Roma superba, tante leggi	Cino da Pistoia	XIV secolo					sonetti	Indice:Le Rime di Cino da Pistoia.djvu	
307352	A Checco	Giuseppe Gioachino Belli	1830				letteratura	sonetti	Indice:Sonetti romaneschi VI.djvu	
746042	A chi nol sa non lasci Dio provare	Cecco Angiolieri	XIII secolo					sonetti	Indice:AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu	
307392	A chi soscera e a chi nnora	Giuseppe Gioachino Belli	1831				letteratura	sonetti	Indice:Sonetti romaneschi VI.djvu	
307514	A Chiara	Giuseppe Gioachino Belli	1832				letteratura	sonetti	Indice:Sonetti romaneschi VI.djvu	
308281	A Compar Dimenico	Giuseppe Gioachino Belli	1830				letteratura	sonetti	Indice:Sonetti romaneschi VI.djvu	
746103	A cosa fatta non vale pentére	Cecco Angiolieri	XIII secolo					sonetti	Indice:AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu	
307321	A cquela fata de la Ssciuzzeri	Giuseppe Gioachino Belli	1836				letteratura	sonetti	Indice:Sonetti romaneschi IV.djvu	
745999	A cui è 'n grado de l'Amor dir male	Cecco Angiolieri	XIII secolo					sonetti	Indice:AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu	
121374	A Dante Alighieri (Zanella)	Giacomo Zanella	1868				letteratura	Poesie	Indice:Versi di Giacomo Zanella.djvu	
79730	A Dio (Pellico)	Silvio Pellico	1837				Letteratura	Poesie	Indice:Poesie inedite di Silvio Pellico I.djvu	
742874	A Dio (Prati)	Giovanni Prati	1844					sonetti	Indice:Prati, Giovanni – Poesie varie, Vol. I, 1916 – BEIC 1901289.djvu	
742879	A Eugenia giovinetta di quattordici anni	Giovanni Prati	1844					sonetti	Indice:Prati, Giovanni – Poesie varie, Vol. I, 1916 – BEIC 1901289.djvu	
120793	A F...	Edgar Allan Poe	1835	inglese	Ernesto Ragazzoni	XIX secolo	letteratura	poesie		"O amata, in fra la tenebra de’ guai
che il mio sentiero avvolge insidïosa
(triste sentiero — ohimè! — dove non mai
crebbe una rosa, una solinga rosa)
{{R|5}}l’anima mia si culla e si riposa
sognandoti, e nel sogno trova almeno
un Eden carezzevole e sereno.

Così la tua memoria è per me come
un’isola incantata: chiusa in grembo
{{R|10}}ad un mar senza spiaggia e senza nome,
l’onda la morde, la flagella il nembo
e il nocchiero la fugge, e pure un lembo
di cielo, azzurro, su lei sola, in giro
le tesse una corona di zaffiro."
243629	A Fedele Lampertico	Giacomo Zanella	1868				letteratura	Poesie	Indice:Versi di Giacomo Zanella.djvu	
932486	A Federico Mistral	Charles de Carbonnières	1911	occitano	Emanuele Portal	1911		poesie	Indice:Antologia provenzale, Hoepli, 1911.djvu	
742667	A Ferdinando Borbone	Giovanni Prati	1852					sonetti	Indice:Prati, Giovanni – Poesie varie, Vol. II, 1916 – BEIC 1901920.djvu	
248002	A Fille - L'avverte acciò non giudichi secondo le apparenze	Giovanni Battista Casti	1838				Letteratura	Odi	Indice:Opere complete di Giambatista Casti, Parigi, Baudry, 1838.pdf	
742744	A fin di corsa	Giovanni Prati	1876					sonetti	Indice:Prati, Giovanni – Poesie varie, Vol. II, 1916 – BEIC 1901920.djvu	
120792	A Frances Sargent Osgood	Edgar Allan Poe	1845	inglese	Ernesto Ragazzoni	XIX secolo	letteratura	poesie		"Vuoi essere amata? Non volgere allora
il piè dal sentiero che segui. Nel mondo
se c’è qualche cosa che affascina ancora
{{R|4}}è un guardo siccome il tuo sguardo profondo;
se ancora qualcosa gli spiriti culla
è ciò che il tuo ingenuo cuore sa già;
l’arcana tua via prosegui, fanciulla,
{{R|8}}e omaggio dovuto l’amor ti sarà."
3105	A Francesco Lomonaco	Alessandro Manzoni	1802				letteratura	Sonetti	Indice:Tragedie, inni sacri e odi.djvu	
55906	A Francesco Rapisardi	Mario Rapisardi	1901				letteratura	Poesie/Poesia satirica		"I
Si la virtù è comu dici tu,
Amicu, grazii tanti : 
Scih, quantu è megghiu essiri birbanti!

II

''(Dopo di avergli mandato in regalo un canestro 
di diosperi kaki, comunemente chiamati "" frutti 
di loto „).''

''Mario Rapisardi a {{Ac|Francesco Rapisardi|Francesco Rapisardi}}.''

Non mi mangiai ssi frutti purtintusi, 
Ca ponnu dari a nui forza e valia, 
Pirchì pri mia li luj su tutti chiusi, 
E lu campari cchiù pena saria: 
Li tò iorna però su priziusi, 
Ami lu munnu e lu munnu ama a tia, 
Perciò ti preju, o speechiu di virtù, 
Kaki, o non kaki, mangiatilli tu.

''Francesco Rapisardi a Mario Rapisardi''.

Ora ca li mangiai sugnu 'n liuni, 
E ccu 'n ciusciuni asciugu lu Pantunu, 
Ccu 'ngnitu fazzu fari 'n furriuni 
A lu diotru 'ntra tuttu lu chianu. 
Eh!  don Mariddu miu, fui 'n gran minchiuni 
D'accittari lu vostru talismanu: 
Cc' è 'n fui fui, e nuddu duna cchiù 
Lu so curuzzu a specchiu di virtù.

Mario Rapisardi aveva mandato all'amico il regalo, accompagnandolo con questi versi che ricordano quelli del poemetto ''L'Asceta'':

''Mario Rapisardi a Francesco Rapisardi''.

Questi frutti di loto, insaporati 
Ne' pomarj di Brama, al saggio amico 
Manda il Poeta: un'immortale essenza 
Infuse in essi innamorato il sole, 
Tal che le forze rifiorire e balda 
Vigoreggiar la giovinezza in core 
Sentirai tosto che di lor ti cibi.

''Francesco Rapisardi a Mario Rapisardi''.

De' diosperi kaki, insaporati 
Alla castalia fonte, il mite amico 
Al solitario di Elicona rende 
Grazie infinite; e ad avvivar la fede 
Nel portentoso rifiorir di forze
Esempio chiede al  donator, che langue 
Con la neve sul crine e il fuoco in core."
37028	A Francesco Saverio Fabre	Ugo Foscolo	1813				letteratura	Sonetti	Indice:Foscolo_-_Poesie,1856.djvu	
63940	A frate Guittone	Guido Guinizelli	XIII secolo				Duecento	Poesie		"[O] caro padre meo, de vostra laude
non bisogna ch’alcun omo se ’mbarchi,
ché ’n vostra mente intrar vizio non aude,
{{R|4}}che for de sé vostro saver non l’archi.

A ciascun reo sì la porta claude,
che, sembr’, ha più via che Venezi’ ha Marchi;
entr’a’ Gaudenti ben vostr’alma gaude,
{{R|8}}ch’al me’ parer li gaudii han sovralarchi.

Prendete la canzon, la qual io porgo
al saver vostro, che l’aguinchi e cimi,
{{R|11}}ch’a voi ciò solo com’a mastr’accorgo,

ch’ell’è congiunta certo a debel’ vimi:
però mirate di lei ciascun borgo
{{R|14}}per vostra correzion lo vizio limi."
742850	A Genova varcando di notte i gioghi alla volta della città	Giovanni Prati	1843					sonetti	Indice:Prati, Giovanni – Poesie varie, Vol. I, 1916 – BEIC 1901289.djvu	
306973	A Ggesù Ssagramentato	Giuseppe Gioachino Belli	1834				letteratura	sonetti	Indice:Sonetti romaneschi IV.djvu	
307372	A Ghita (Belli)	Giuseppe Gioachino Belli	1831				letteratura	corone di sonetti	Indice:Sonetti romaneschi VI.djvu	
742876	A Giorgio Byron	Giovanni Prati	1844					sonetti	Indice:Prati, Giovanni – Poesie varie, Vol. I, 1916 – BEIC 1901289.djvu	
3293	"A Giulio, lodatore di ""pazzi sonettanti"", o classicisti"	Alessandro Manzoni	1816				letteratura	Poesie		"Dunque il tuo Lesbio per l'estinta Nice 
Va su' tumuli erbosi a sparger pianti 
Veracemente come in versi il dice?

Oh, che mi narri di siffatti vanti 
{{R|5}}Sentimentali che a bandir lor nome
Spandon cotesti pazzi sonettanti?

Poi gridan che ahi! gli è indarno offrir le chiome 
Alla Tartarea Giuno, e abbracciar l'are 
Dell'Eumenidi pie per vincer, come

{{R|10}}Pur non fu dato al Tracio Orfeo, le avare 
Fauci dell'atra Dite, e all'aureo sole 
Ricondur le rapite anime care.

E sentono costoro? e in lor parole 
Dolor tu forse, o amor, od altro senti 
{{R|15}}In mezzo al ghiaccio di cotante fole?

Male il Poeta ti pingesti in mente, 
Diletto Giulio, e il tuo veder fallace 
S'accusa in tal subbietto anco ebbramente.

Come i versi lodar puoi del dicace 
{{R|20}}Spensierato Berillo, ond'è schernita 
Del buon Pacomio la vista verace

Perché incerto è nell'opre, ed ogni ardita 
Sentenza il punge, e fugge i crocchi, e gode 
Trar taciturna e solitaria vita?

{{R|25}}Poi veggo il duolo che ti cruccia e rode 
Se la scola t'ingiunge altra lettura 
Che poemetti, canzoncine ed ode.
..."
484104	A governar di Pietro il sacro legno	Giambattista Felice Zappi	1723				Letteratura	Sonetti	Indice:Zappi, Maratti - Rime I.pdf	
482303	A Gregorio XI	Franco Sacchetti	1375					canzoni	Indice:Le Rime di Cino da Pistoia.djvu	
932550	A Jacme il Conquistatore	Jacinto Verdaguer	1911	occitano	Emanuele Portal	1911		poesie	Indice:Antologia provenzale, Hoepli, 1911.djvu	
932568	A Jasmin	Victor Delbergé	1911	occitano	Emanuele Portal	1911		poesie	Indice:Antologia provenzale, Hoepli, 1911.djvu	
119426	A l'Assessore de l'Iggiene	Adolfo Giaquinto	1893	romanesco			letteratura	poesie		"Sor Assessore mio, tutta st'istate
Ciavete fatto er bullo e lo scontento,
E mannavio le guardie 'gni momento
{{R|4}}A sequestrà la gente a carettate <ref>In quei giorni si diceva che serpeggiava il colera ed il municipio sequestrava e mandava al lazzaretto chiunque ne avesse qualche sintomo.</ref>.

E che vordì che mo' nun sequestrate
Quer maruvano che c'è ar Parlamento? <ref>Le rivelazioni del Comitato dei sette.</ref>
Co' tanti casi che ce so' lì drento
{{R|8}}Mo' le pizzarde nun ce le mannate?

Eppuro er comitato de li sette
L'ha detto chiaro e tonno, l'ha spiegato,
{{R|11}}Si quale so' 'ste personcine infette!

Mannate armeno un carro de cloruro,
Perché co' quer colera che c'è stato
{{R|14}}Lì drento s'è infettato puro er muro!"
746742	A la brigata avara senza arnesi	Cenne da la Chitarra	XIII secolo/XIV secolo					sonetti	Indice:AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu	
746714	A la brigata nobile e cortese	Folgore da San Gimignano	XIII secolo/XIV secolo				Letteratura	sonetti	Indice:AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu	
746856	A la dolce stasón, ch'ei torde arvègnono	Marino Ceccoli	XIV secolo					sonetti	Indice:AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu	
746735	A la domane, a l'apparér del giorno	Folgore da San Gimignano	XIII secolo/XIV secolo					sonetti	Indice:AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu	
845121	A la gelida tomba ov'è sepolto	Pietro Michiele	XVII secolo				Letteratura	Sonetti	Indice:AA. VV. - Lirici marinisti.djvu	
309017	A la sor'Orzola	Giuseppe Gioachino Belli	1838				letteratura	sonetti	Indice:Sonetti romaneschi V.djvu	
306026	A la sora Teta che pijja marito	Giuseppe Gioachino Belli	1827				letteratura	sonetti	Indice:Sonetti romaneschi I.djvu	
308417	A la sora Teta Zzampi	Giuseppe Gioachino Belli	1838				letteratura	sonetti	Indice:Sonetti romaneschi V.djvu	
26151	A la stagion che 'l mondo foglia e fiora	Compiuta Donzella	XIII secolo				duecento	sonetti/Scritture di donne		"A la stagion che ‘l mondo foglia e fiora
acresce gioia a tut<nowiki>[t]</nowiki>i fin’ amanti:
vanno insieme a li giardini alora
che gli auscelletti fanno dolzi canti;{{R|4}}

la franca gente tutta s’inamora,
e di servir ciascun trag<nowiki>[g]</nowiki>es’ inanti,
ed ogni damigella in gioia dimora;
e me, n’abondan mar<nowiki>[r]</nowiki>imenti e pianti.{{R|8}}

Ca lo mio padre m’ha messa ‘n er<nowiki>[r]</nowiki>ore,
e tenemi sovente in forte doglia:
donar mi vole a mia forza segnore,{{R|11}}

ed io di ciò non ho disìo né voglia,
e ‘n gran tormento vivo a tutte l’ore;
però non mi ralegra fior né foglia.{{R|14}}"
307380	A la Torfetana	Giuseppe Gioachino Belli	1831				letteratura	sonetti	Indice:Sonetti romaneschi VI.djvu	
307427	A le prove	Giuseppe Gioachino Belli	1831				letteratura	sonetti	Indice:Sonetti romaneschi VI.djvu	
306069	A le spalle de Zaccaria	Giuseppe Gioachino Belli	1830				letteratura	sonetti	Indice:Sonetti romaneschi I.djvu	
306110	A li caggnaroli sull'ore calle	Giuseppe Gioachino Belli	1831				letteratura	sonetti	Indice:Sonetti romaneschi I.djvu	
306645	A li ggiacubbini	Giuseppe Gioachino Belli	1833				letteratura	sonetti	Indice:Sonetti romaneschi III.djvu	
306041	A li sori anconetani	Giuseppe Gioachino Belli	1830				letteratura	sonetti	Indice:Sonetti romaneschi I.djvu	
306634	A li zzelanti	Giuseppe Gioachino Belli	1833				letteratura	sonetti	Indice:Sonetti romaneschi III.djvu	
746815	A lo tempo de Moises e più enanti	Niccolò de' Rossi	XIV secolo					sonetti	Indice:AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu	
254877	A Lodovico Pasini Senatore del Regno	Giacomo Zanella	1868				letteratura	Poesie	Indice:Versi di Giacomo Zanella.djvu	
742670	A Luigi Napoleone, il 2 dicembre	Giovanni Prati	1852					sonetti	Indice:Prati, Giovanni – Poesie varie, Vol. II, 1916 – BEIC 1901920.djvu	
742885	A Luigia Abbadia	Giovanni Prati	1844					sonetti	Indice:Prati, Giovanni – Poesie varie, Vol. I, 1916 – BEIC 1901289.djvu	
742887	A M... T...	Giovanni Prati	1846					sonetti	Indice:Prati, Giovanni – Poesie varie, Vol. I, 1916 – BEIC 1901289.djvu	
932398	A Mad. Elisabetta Pericaud	Frédéric Mistral	1911	occitano	Emanuele Portal	1911		poesie	Indice:Antologia provenzale, Hoepli, 1911.djvu	
48610	A Manfuriu	Mario Rapisardi	1889				letteratura	Poesia satirica		"Manfurio, a cui la bile e l'appetito 
In legittimo amor par che s'unisca, 
Grammatico, retorico, erudito. 
Onniloqnente ancor che balbutisca : 
{{R|5}}Un filologo insomma alla tedesca : 
Ferreo cul, cor di stoppia e faccia fresca."
243018	A Marco Lucceio figlio di Marco	Anonimo	Antichità	latino	Giacomo Zanella	1868	letteratura	poesie	Indice:Versi di Giacomo Zanella.djvu	
843553	A me sen vien, per sua vaghezza eletto	Pier Francesco Paoli					Letteratura	Sonetti	Indice:AA. VV. - Lirici marinisti.djvu	
307377	A Menica-Zózza	Giuseppe Gioachino Belli	1831				letteratura	sonetti	Indice:Sonetti romaneschi VI.djvu	
308278	A Menicuccio Cianca	Giuseppe Gioachino Belli	XIX secolo				letteratura	sonetti	Indice:Sonetti romaneschi VI.djvu	
400622	A mes scolars	Vigil Perathoner	1884	ladino			letteratura	Poesie		"A mes scolars

Mes buns e cars
Amitgs scolars!
Tgi ha lubiu de far aschi?
Per vies schengetg
Engraziel fetg,
In gron plischer  veis fatg a mi.
Mo eunc pli bein
Segiramein
Vignis vus mei legrar; cun flis
Modestadat
E  tscheccadat,
Cun buca daventar unfis
D’urar e far
E brav luvrar
E bein imp( r )ender vies talenn,
Che Dieus ha dau
A  vus el tgau,
Perquel tenni bein endamenn:
Lischentadat,
Lischadadat
E tupadira vala nuot
Duvrei  endretg
Vies  entelletg
E lavigiei negin daguot;
Pertgei saveis
Che Vus haveis
Ded inagada render quenn?
Scbe seies po
Perderts e mo
De far il bien tenni el senn,
Gie sespruei,
- Dieus detti quei -
Ded esser buns e pietus
Buc emblidei
D'urarper mei,
Sco jeu vi era far per vus.


P Vig. Perathoner Prof."
308425	A mi' cuggina Orzola	Giuseppe Gioachino Belli	1841				letteratura	sonetti	Indice:Sonetti romaneschi V.djvu	
742396	A mia figlia	Giovanni Prati	1843					ballate	Indice:Prati, Giovanni – Poesie varie, Vol. II, 1916 – BEIC 1901920.djvu	
249517	A mia madre (Zanella)	Giacomo Zanella	1868				letteratura	Poesie	Indice:Versi di Giacomo Zanella.djvu	
742757	A mio padre (Prati)	Giovanni Prati	1876					sonetti	Indice:Prati, Giovanni – Poesie varie, Vol. II, 1916 – BEIC 1901920.djvu	
306297	A mmi' mojje ch'è nnata oggi, e sse chiama come che la Madonna	Giuseppe Gioachino Belli	1832				letteratura	sonetti	Indice:Sonetti romaneschi II.djvu	
932516	A Montpellier	Antoine Roux	1911	occitano	Emanuele Portal	1911		poesie	Indice:Antologia provenzale, Hoepli, 1911.djvu	
932448	A N. S. della Guardia	D. J. B. Garnier	1911	occitano	Emanuele Portal	1911		poesie	Indice:Antologia provenzale, Hoepli, 1911.djvu	
746640	A nessun omo addivenne giá mai	Rustico Filippi	XIII secolo					sonetti	Indice:AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu	
243071	A Nice (Zanella)	Anonimo	Antichità	latino	Giacomo Zanella	1868	letteratura	poesie	Indice:Versi di Giacomo Zanella.djvu	
307370	A Nina (Belli)	Giuseppe Gioachino Belli	1831				letteratura	sonetti	Indice:Sonetti romaneschi VI.djvu	
